rho,T_i_keV,T_e_keV,n_e_m-3,q
0.02,28.62385,26.62844,73853210000000000000,3.48039
0.06,28.65826,26.62844,73738530000000000000,3.23529
0.10,28.65826,26.50803,73738530000000000000,3.11275
0.14,28.52064,26.38761,73738530000000000000,3.06373
0.18,28.27982,26.2844,73738530000000000000,3.06373
0.22,28.00459,25.94037,73738530000000000000,2.91667
0.26,27.52294,25.59633,73738530000000000000,2.69608
0.30,26.69725,24.90826,73738530000000000000,2.54902
0.34,25.18349,24.42661,73738530000000000000,2.5
0.38,24.22018,22.63761,73623850000000000000,2.5
0.42,22.70642,20.98624,73394500000000000000,2.5
0.46,20.47018,20.12615,73165140000000000000,2.5
0.50,18.02752,17.27064,72821100000000000000,2.5
0.54,15.58486,15.34404,72247710000000000000,2.45098
0.58,12.93578,11.90367,71788990000000000000,2.32843
0.62,10.04587,9.83945,70871560000000000000,2.27941
0.66,6.536697,5.917431,69495410000000000000,2.23039
0.70,5.022936,4.885321,68807340000000000000,2.37745
0.74,4.059633,3.922018,67889910000000000000,2.57353
0.78,3.577982,3.509174,67431190000000000000,2.94118
0.82,3.027523,3.130734,66169720000000000000,3.28431
0.86,2.408257,2.752294,64678900000000000000,3.79902
0.90,2.133028,2.408257,62614680000000000000,4.46078
0.94,1.651376,2.201835,57339450000000000000,5.14706
0.98,0.412844,0.8944954,43463300000000000000,6.29902
