rho,T_i_keV,T_e_keV,n_e_m-3,psi_Wb,q
0.02,23.653497,31.916919,116707140000000000000,0.051514582,0.98095868
0.06,23.388408,31.61559,116677270000000000000,0.42623202,1.0026348
0.10,22.347649,30.90669,116501900000000000000,1.1707325,0.99559602
0.14,20.898527,29.666591,116175980000000000000,2.2926423,0.99236014
0.18,19.538816,27.781227,115767800000000000000,3.7894485,0.98852707
0.22,18.23018,25.347258,115452180000000000000,5.6851369,0.97624124
0.26,16.984169,22.629095,115819210000000000000,7.9893666,0.96583872
0.30,15.919526,20.260162,116954800000000000000,10.67715,0.97056585
0.34,14.958622,18.296595,116863850000000000000,13.727939,0.97985047
0.38,14.060014,16.599106,116278210000000000000,17.115167,0.9961043
0.42,13.254228,15.177253,114813960000000000000,20.814375,1.0170967
0.46,12.512113,13.961184,113909740000000000000,24.778118,1.0491666
0.50,11.827781,12.930521,113310530000000000000,28.943089,1.0955452
0.54,11.192074,12.029129,112023270000000000000,33.241284,1.1551009
0.58,10.561998,11.181325,110361280000000000000,37.609863,1.2317603
0.62,9.9196309,10.333079,107923150000000000000,41.97812,1.3254782
0.66,9.2543617,9.4312868,105665820000000000000,46.287337,1.4404452
0.70,8.5791608,8.5333971,103518640000000000000,50.483194,1.5786656
0.74,7.9086662,7.7115109,100909410000000000000,54.52251,1.7418662
0.78,7.2766289,6.9616092,97559282000000000000,58.37365,1.9333943
0.82,6.6737938,6.3041168,93301709000000000000,62.016065,2.1594447
0.86,6.1108585,5.7599056,88276338000000000000,65.429674,2.4313815
0.90,5.5741655,5.2836349,82672523000000000000,68.585489,2.7765281
0.94,4.7268568,4.5562782,74735285000000000000,71.474728,3.1545773
0.98,2.2721915,2.1198222,63124835000000000000,74.124332,3.6066965
