rho,T_i_p10_keV,T_i_median_keV,T_i_p90_keV,T_e_p10_keV,T_e_median_keV,T_e_p90_keV,n_e_p10_m-3,n_e_median_m-3,n_e_p90_m-3
0.02,11.2692,11.9231,12.5385,13.1361,13.9349,14.5917,345000000000000000000,375000000000000000000,408333000000000000000
0.06,11.1538,11.8846,12.5769,12.9586,13.8018,14.5118,341667000000000000000,371667000000000000000,405000000000000000000
0.10,11,11.7692,12.4615,12.3905,13.2692,14.068,335000000000000000000,365000000000000000000,400000000000000000000
0.14,10.5385,11.3462,12.1154,11.4497,12.3373,13.1361,320000000000000000000,351667000000000000000,388333000000000000000
0.18,10,10.8462,11.7308,10.6065,11.4497,12.2485,308333000000000000000,336667000000000000000,371667000000000000000
0.22,9.38462,10.1923,11,9.80769,10.5621,11.3166,298333000000000000000,325000000000000000000,355000000000000000000
0.26,8.70385,9.53846,10.3462,9.09763,9.80769,10.5178,283333000000000000000,310000000000000000000,338333000000000000000
0.30,8.15385,8.94231,9.73077,8.43195,9.09763,9.76331,271667000000000000000,296667000000000000000,325000000000000000000
0.34,7.5,8.30769,9.07692,7.76627,8.38757,8.9645,260000000000000000000,285000000000000000000,311667000000000000000
0.38,6.96154,7.65385,8.35769,7.14497,7.72189,8.29882,251667000000000000000,275000000000000000000,300000000000000000000
0.42,6.42308,7.03846,7.65385,6.56805,7.10059,7.63314,243333000000000000000,266667000000000000000,290167000000000000000
0.46,5.92308,6.5,7.07692,6.12426,6.70118,7.27811,235000000000000000000,258333000000000000000,281667000000000000000
0.50,5.46154,6,6.53846,5.72485,6.34615,6.92308,228833000000000000000,251667000000000000000,275000000000000000000
0.54,5.07692,5.61538,6.15385,5.36982,5.99112,6.61243,223333000000000000000,245000000000000000000,266667000000000000000
0.58,4.76923,5.26923,5.80769,5.05917,5.68047,6.30178,218333000000000000000,238333000000000000000,260000000000000000000
0.62,4.46154,5,5.5,4.74852,5.36982,5.94675,213333000000000000000,233333000000000000000,253333000000000000000
0.66,4.19231,4.73077,5.23077,4.43787,5.05917,5.63609,211667000000000000000,230000000000000000000,248333000000000000000
0.70,3.96154,4.46154,4.96154,4.12722,4.74852,5.36982,211667000000000000000,230000000000000000000,248333000000000000000
0.74,3.73077,4.23077,4.73077,3.90533,4.52663,5.10355,211667000000000000000,228333000000000000000,245000000000000000000
0.78,3.53846,4.03846,4.5,3.63905,4.30473,4.88166,210000000000000000000,225000000000000000000,241667000000000000000
0.82,3.38462,3.84615,4.30769,3.41716,4.08284,4.70414,208333000000000000000,221667000000000000000,236667000000000000000
0.86,3.19231,3.65385,4.15385,3.3284,3.9497,4.52663,210000000000000000000,220000000000000000000,231667000000000000000
0.90,3.03846,3.5,4,3.15089,3.77219,4.39349,211667000000000000000,218333000000000000000,226667000000000000000
0.94,2.80769,3.30769,3.80769,3.01775,3.59467,4.1716,173167000000000000000,200000000000000000000,215000000000000000000
0.98,1.73077,2.30769,2.98077,1.91272,2.52959,3.28402,33333300000000000000,96666700000000000000,155000000000000000000
